site_description,site,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,FTL, L5C , 5C , 1M , 2M , 3M , 5M , 10M , 20M , 30M , 40M 
Itasca,DIT,CWT,Weight,70,40,1VNL,LVT,1748.43,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,CWT,Weight,70,40,1VNL,LVP,1748.43,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,CWT,Weight,70,40,1VNL,VCT,1748.43,28.27,23.25,17.48,13.88,13.88,9.85,7.17,7.17,7.17,7.17
Itasca,DIT,SQYD,Area,150,10,1CBL,Carpet Roll,1748.43,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41
Itasca,DIT,SQYD,Area,70,100,1CPT,Carpet Tile,1748.43,0.75,0.73,0.72,0.71,0.69,0.69,0.69,0.69,0.69,0.69
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,LVT,2313.67,22.87,20.85,16.16,13.00,13.00,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,LVP,2313.67,22.87,20.85,16.16,13.00,13.00,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,CWT,Weight,70,40,1VNL,VCT,2313.67,22.87,20.85,16.16,13.00,13.00,10.19,8.49,8.49,8.49,8.49
Jacksonville,SPJ,SQYD,Area,150,10,1CBL,Carpet Roll,2313.67,0.44,0.42,0.42,0.41,0.40,0.40,0.40,0.40,0.40,0.40
Jacksonville,SPJ,SQYD,Area,70,100,1CPT,Carpet Tile,2313.67,0.74,0.72,0.71,0.70,0.67,0.67,0.67,0.67,0.67,0.67
Norcross,SPN,CWT,Weight,70,40,1VNL,LVT,724.83,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,CWT,Weight,70,40,1VNL,LVP,724.83,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,CWT,Weight,70,40,1VNL,VCT,724.83,12.24,11.15,8.29,6.26,6.26,4.97,4.21,4.21,4.21,4.21
Norcross,SPN,SQYD,Area,150,10,1CBL,Carpet Roll,724.83,0.32,0.31,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.28
Norcross,SPN,SQYD,Area,70,100,1CPT,Carpet Tile,724.83,0.54,0.53,0.51,0.49,0.48,0.48,0.48,0.48,0.48,0.48
Tampa,SPT,CWT,Weight,70,40,1VNL,LVT,2313.67,25.37,23.13,17.94,14.41,14.41,11.30,9.42,9.42,9.42,9.42
Tampa,SPT,CWT,Weight,70,40,1VNL,LVP,2313.67,25.37,23.13,17.94,14.41,14.41,11.30,9.42,9.42,9.42,9.42
Tampa,SPT,CWT,Weight,70,40,1VNL,VCT,2313.67,25.37,23.13,17.94,14.41,14.41,11.30,9.42,9.42,9.42,9.42
Tampa,SPT,SQYD,Area,150,10,1CBL,Carpet Roll,2313.67,0.46,0.45,0.44,0.44,0.42,0.42,0.42,0.42,0.42,0.42
Tampa,SPT,SQYD,Area,70,100,1CPT,Carpet Tile,2313.67,0.78,0.76,0.75,0.74,0.71,0.71,0.71,0.71,0.71,0.71
Longwood,SPW,CWT,Weight,70,40,1VNL,LVT,2313.67,25.37,23.13,17.94,14.14,14.14,11.30,9.42,9.42,9.42,9.42
Longwood,SPW,CWT,Weight,70,40,1VNL,LVP,2313.67,25.37,23.13,17.94,14.14,14.14,11.30,9.42,9.42,9.42,9.42
Longwood,SPW,CWT,Weight,70,40,1VNL,VCT,2313.67,25.37,23.13,17.94,14.14,14.14,11.30,9.42,9.42,9.42,9.42
Longwood,SPW,SQYD,Area,150,10,1CBL,Carpet Roll,2313.67,0.45,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.41
Longwood,SPW,SQYD,Area,70,100,1CPT,Carpet Tile,2313.67,0.77,0.75,0.74,0.73,0.69,0.69,0.69,0.69,0.69,0.69
Spectra Coppell,SPCP,CWT,Weight,70,40,1VNL,LVT,2160.00,26.53,24.18,19.27,16.10,16.10,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,CWT,Weight,70,40,1VNL,LVP,2160.00,26.53,24.18,19.27,16.10,16.10,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,CWT,Weight,70,40,1VNL,VCT,2160.00,26.53,24.18,19.27,16.10,16.10,12.58,10.57,10.57,10.57,10.57
Spectra Coppell,SPCP,SQYD,Area,150,10,1CBL,Carpet Roll,2160.00,0.51,0.49,0.48,0.47,0.46,0.46,0.46,0.46,0.46,0.46
Spectra Coppell,SPCP,SQYD,Area,70,100,1CPT,Carpet Tile,2160.00,0.86,0.83,0.82,0.81,0.78,0.78,0.78,0.78,0.78,0.78
Spectra Houston,SPHU,CWT,Weight,70,40,1VNL,LVT,2160.00,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,CWT,Weight,70,40,1VNL,LVP,2160.00,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,CWT,Weight,70,40,1VNL,VCT,2160.00,26.04,23.74,18.92,15.81,15.81,12.35,10.37,10.37,10.37,10.37
Spectra Houston,SPHU,SQYD,Area,150,10,1CBL,Carpet Roll,2160.00,0.51,0.50,0.49,0.48,0.46,0.46,0.46,0.46,0.46,0.46
Spectra Houston,SPHU,SQYD,Area,70,100,1CPT,Carpet Tile,2160.00,0.86,0.84,0.83,0.81,0.79,0.79,0.79,0.79,0.79,0.79
Pavillion Floors,PVF,CWT,Weight,70,40,1VNL,LVT,3474.81,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,CWT,Weight,70,40,1VNL,LVP,3474.81,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,CWT,Weight,70,40,1VNL,VCT,3474.81,30.56,27.05,21.56,18.18,18.18,15.09,13.53,13.53,13.53,13.53
Pavillion Floors,PVF,SQYD,Area,150,10,1CBL,Carpet Roll,3474.81,0.68,0.68,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65
Pavillion Floors,PVF,SQYD,Area,70,100,1CPT,Carpet Tile,3474.81,1.16,1.15,1.14,1.13,1.11,1.11,1.11,1.11,1.11,1.11
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,LVT,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,LVP,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,CWT,Weight,70,40,1VNL,VCT,3926.47,37.04,30.02,25.56,21.49,21.49,18.68,15.32,15.32,15.32,15.32
Spectra Tempe,SPTM,SQYD,Area,150,10,1CBL,Carpet Roll,3926.47,0.74,0.72,0.71,0.70,0.67,0.67,0.67,0.67,0.67,0.67
Spectra Tempe,SPTM,SQYD,Area,70,100,1CPT,Carpet Tile,3926.47,1.26,1.23,1.20,1.19,1.15,1.15,1.15,1.15,1.15,1.15
Denver,CTS,CWT,Weight,70,40,1VNL,LVT,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,CWT,Weight,70,40,1VNL,LVP,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,CWT,Weight,70,40,1VNL,VCT,4405.89,31.43,28.66,22.83,19.08,19.08,14.91,12.53,12.53,12.53,12.53
Denver,CTS,SQYD,Area,150,10,1CBL,Carpet Roll,4405.89,0.67,0.66,0.65,0.63,0.61,0.61,0.61,0.61,0.61,0.61
Denver,CTS,SQYD,Area,70,100,1CPT,Carpet Tile,4405.89,1.14,1.11,1.10,1.07,1.03,1.03,1.03,1.03,1.03,1.03
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,LVT,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,LVP,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,CWT,Weight,70,40,1VNL,VCT,1362.91,18.69,17.03,13.21,10.62,10.62,8.32,6.94,6.94,6.94,6.94
Floor Sol Union,FSU,SQYD,Area,150,10,1CBL,Carpet Roll,1362.91,1.27,1.25,1.23,1.21,1.16,1.16,1.16,1.16,1.16,1.16
Floor Sol Union,FSU,SQYD,Area,70,100,1CPT,Carpet Tile,1362.91,2.16,2.12,2.09,2.05,1.96,1.96,1.96,1.96,1.96,1.96
